filename,width,height,class,xmin,ymin,xmax,ymax
1_IMG_20180119_174529.jpg,300,300,stairs_up,41,47,300,293
1_IMG_20180119_174149.jpg,300,300,stairs_down,1,26,300,280
1_IMG_20180119_174255.jpg,300,300,stairs_up,16,1,291,300
1_IMG_20180119_174442.jpg,300,300,door,15,1,240,277
1_IMG_20180119_175314.jpg,300,300,door,53,52,270,297
1_IMG_20180119_174636.jpg,300,300,female_washroom,108,30,262,189
1_IMG_20180119_174032.jpg,300,300,door,59,18,244,284
1_IMG_20180119_175213.jpg,300,300,door,18,1,277,291
1_IMG_20180119_175010.jpg,300,300,exit_sym,1,53,291,216
1_IMG_20180119_174757.jpg,300,300,exit_sym,1,4,252,188
1_IMG_20180119_174239.jpg,300,300,door,58,22,223,284
1_IMG_20180119_174144.jpg,300,300,door,61,53,249,268
1_IMG_20180119_174616.jpg,300,300,door,55,6,209,291
1_IMG_20180119_174214.jpg,300,300,female_washroom,54,68,208,279
1_IMG_20180119_175235.jpg,300,300,door,33,27,235,295
1_IMG_20180119_175240.jpg,300,300,door,31,1,194,286
1_IMG_20180119_174509.jpg,300,300,toilet_sign,1,58,281,213
1_IMG_20180119_174026.jpg,300,300,door,37,5,258,285
1_IMG_20180119_174921.jpg,300,300,toilet_sign,1,81,300,229
1_IMG_20180119_175217.jpg,300,300,door,19,24,286,283
1_IMG_20180119_174354.jpg,300,300,fire_exit,18,1,210,269
1_IMG_20180119_174904.jpg,300,300,door,19,5,237,293
1_IMG_20180119_174140.jpg,300,300,stairs_down,1,42,300,266
1_IMG_20180119_174044.jpg,300,300,stairs_up,1,43,271,277
1_IMG_20180119_175205.jpg,300,300,fire_exit,25,64,278,227
1_IMG_20180119_174634.jpg,300,300,female_washroom,17,77,156,241
1_IMG_20180119_174304.jpg,300,300,exit_sym,32,50,269,160
1_IMG_20180119_174150.jpg,300,300,pd_washroom,98,91,229,285
1_IMG_20180119_174535.jpg,300,300,stairs_up,4,34,282,293
1_IMG_20180119_174251.jpg,300,300,stairs_up,1,1,275,300
1_IMG_20180119_175011.jpg,300,300,door,36,2,198,298
1_IMG_20180119_174042.jpg,300,300,door,57,7,251,282
1_IMG_20180119_175103.jpg,300,300,door,21,45,260,294
1_IMG_20180119_174311.jpg,300,300,stairs_up,4,7,300,294
1_IMG_20180119_174822.jpg,300,300,fire_exit,1,80,300,183
1_IMG_20180119_174639.jpg,300,300,female_washroom,85,56,210,219
1_IMG_20180119_174550.jpg,300,300,stairs_up,1,16,255,273
1_IMG_20180119_174926.jpg,300,300,door,55,14,235,300
1_IMG_20180119_174557.jpg,300,300,stairs_down,1,157,300,244
1_IMG_20180119_174909.jpg,300,300,stairs_down,13,71,300,285
1_IMG_20180119_175310.jpg,300,300,door,70,22,287,267
1_IMG_20180119_175441.jpg,300,300,door,28,1,235,299
1_IMG_20180119_174212.jpg,300,300,female_washroom,100,42,254,253
1_IMG_20180119_174642.jpg,300,300,female_washroom,82,89,219,265
1_IMG_20180119_174243.jpg,300,300,door,96,52,223,287
1_IMG_20180119_175003.jpg,300,300,door,34,1,221,295
1_IMG_20180119_174458.jpg,300,300,door,25,19,294,300
1_IMG_20180119_174218.jpg,300,300,female_washroom,88,52,250,261
1_IMG_20180119_174827.jpg,300,300,fire_exit,17,38,300,228
1_IMG_20180119_174631.jpg,300,300,female_washroom,145,84,235,225
1_IMG_20180119_174358.jpg,300,300,fire_exit,1,46,300,204
1_IMG_20180119_174012.jpg,300,300,male_washroom,119,37,235,259
1_IMG_20180119_174131.jpg,300,300,door,22,3,248,277
1_IMG_20180119_174115.jpg,300,300,stairs_up,1,75,274,300
1_IMG_20180119_174036.jpg,300,300,stairs_up,1,28,271,300
1_IMG_20180119_174402.jpg,300,300,fire_exit,21,29,267,222
1_IMG_20180119_174703.jpg,300,300,door,5,2,285,292
1_IMG_20180119_174121.jpg,300,300,stairs_up,1,37,270,291
1_IMG_20180119_174408.jpg,300,300,stairs_up,8,1,286,271
1_IMG_20180119_174803.jpg,300,300,exit_sym,53,37,283,204
1_IMG_20180119_175258.jpg,300,300,door,1,1,300,300
1_IMG_20180119_174751.jpg,300,300,exit_sym,2,66,290,199
1_IMG_20180119_174856.jpg,300,300,door,1,1,280,299
1_IMG_20180119_175524.jpg,300,300,fire_exit,1,81,300,239
1_IMG_20180119_174224.jpg,300,300,door,53,2,190,277
1_IMG_20180119_175435.jpg,300,300,door,21,1,259,296
1_IMG_20180119_174907.jpg,300,300,door,20,3,249,278
1_IMG_20180119_174520.jpg,300,300,toilet_sign,2,1,234,211
1_IMG_20180119_175448.jpg,300,300,door,30,2,209,273
1_IMG_20180119_174122.jpg,300,300,door,58,1,256,279
1_IMG_20180119_174154.jpg,300,300,stairs_down,1,27,300,281
1_IMG_20180119_175207.jpg,300,300,fire_exit,26,39,300,216
1_IMG_20180119_175246.jpg,300,300,door,62,15,247,297
1_IMG_20180119_175056.jpg,300,300,fire_exit,1,78,300,205
1_IMG_20180119_174356.jpg,300,300,stairs_up,2,1,270,292
1_IMG_20180119_175005.jpg,300,300,exit_sym,1,59,300,180
1_IMG_20180119_175307.jpg,300,300,door,15,16,260,285
1_IMG_20180119_174301.jpg,300,300,stairs_up,1,1,275,300
1_IMG_20180119_174711.jpg,300,300,stairs_down,91,135,300,263
1_IMG_20180119_174832.jpg,300,300,fire_exit,1,27,300,189
1_IMG_20180119_174609.jpg,300,300,stairs_down,1,77,300,290
1_IMG_20180119_174615.jpg,300,300,pd_washroom,63,6,241,216
1_IMG_20180119_174200.jpg,300,300,male_washroom,64,54,200,272
1_IMG_20180119_174931.jpg,300,300,door,31,7,211,293
1_IMG_20180119_173912.jpg,300,300,stairs_up,22,24,263,289
1_IMG_20180119_174955.jpg,300,300,door,47,1,234,295
1_IMG_20180119_174153.jpg,300,300,pd_washroom,84,52,267,263
1_IMG_20180119_174218(1).jpg,300,300,door,51,1,242,299
1_IMG_20180119_174914.jpg,300,300,toilet_sign,1,60,279,237
1_IMG_20180119_174516.jpg,300,300,toilet_sign,49,64,279,209
1_IMG_20180119_173930.jpg,300,300,fire_exit,1,111,300,234
1_IMG_20180119_174151.jpg,300,300,door,17,7,206,287
1_IMG_20180119_174016.jpg,300,300,door,73,9,228,282
1_IMG_20180119_174613.jpg,300,300,stairs_down,1,86,300,299
1_IMG_20180119_174706.jpg,300,300,door,6,10,249,299
1_IMG_20180119_174748.jpg,300,300,exit_sym,57,58,242,193
1_IMG_20180119_174202.jpg,300,300,door,1,23,297,298
1_IMG_20180119_174317(1).jpg,300,300,exit_sym,70,21,256,198
1_IMG_20180119_174029.jpg,300,300,female_washroom,81,26,230,234
1_IMG_20180119_174546.jpg,300,300,stairs_up,3,20,258,277
1_IMG_20180119_174155.jpg,300,300,door,58,60,234,287
1_IMG_20180119_174540.jpg,300,300,door,44,18,247,252
1_IMG_20180119_174302.jpg,300,300,exit_sym,9,37,246,147
1_IMG_20180119_175254.jpg,300,300,door,7,1,255,280
1_IMG_20180119_174300.jpg,300,300,exit_sym,15,58,255,170
1_IMG_20180119_174402(1).jpg,300,300,stairs_up,19,1,287,292
1_IMG_20180119_174512.jpg,300,300,toilet_sign,1,103,300,253
1_IMG_20180119_174027.jpg,300,300,female_washroom,77,18,255,268
1_IMG_20180119_174313.jpg,300,300,exit_sym,75,22,240,187
1_IMG_20180119_174416.jpg,300,300,stairs_up,16,1,293,292
1_IMG_20180119_174914(1).jpg,300,300,door,10,17,262,297
1_IMG_20180119_174427.jpg,300,300,door,26,15,276,289
1_IMG_20180119_174021.jpg,300,300,male_washroom,65,17,260,294
1_IMG_20180119_174205.jpg,300,300,male_washroom,93,71,260,294
1_IMG_20180119_174527.jpg,300,300,door,10,1,255,269
1_IMG_20180119_174337.jpg,300,300,stairs_down,1,14,300,284
1_IMG_20180119_175059.jpg,300,300,fire_exit,1,32,269,221
1_IMG_20180119_174941.jpg,300,300,door,29,1,216,295
1_IMG_20180119_174317.jpg,300,300,stairs_down,1,28,300,282
1_IMG_20180119_175040.jpg,300,300,door,37,1,224,299
1_IMG_20180119_175229(1).jpg,300,300,door,116,28,238,283
1_IMG_20180119_174801.jpg,300,300,exit_sym,64,45,259,197
1_IMG_20180119_174910.jpg,300,300,toilet_sign,19,25,282,192
1_IMG_20180119_174753(1).jpg,300,300,exit_sym,12,47,300,176
1_IMG_20180119_175227.jpg,300,300,fire_exit,4,52,300,195
1_IMG_20180119_174526.jpg,300,300,stairs_up,1,40,281,291
1_IMG_20180119_174258.jpg,300,300,exit_sym,34,56,274,168
1_IMG_20180119_174158.jpg,300,300,male_washroom,84,27,269,249
1_IMG_20180119_174600.jpg,300,300,stairs_down,1,150,209,270
1_IMG_20180119_174613(1).jpg,300,300,pd_washroom,91,15,235,281
1_IMG_20180119_174820.jpg,300,300,stairs_down,1,62,300,283
1_IMG_20180119_173934.jpg,300,300,stairs_up,12,18,230,298
1_IMG_20180119_174143.jpg,300,300,stairs_down,1,45,300,269
1_IMG_20180119_174431.jpg,300,300,stairs_down,1,15,300,285
1_IMG_20180119_174040.jpg,300,300,stairs_up,1,33,245,300
1_IMG_20180119_174435.jpg,300,300,door,47,1,262,262
1_IMG_20180119_174320.jpg,300,300,stairs_down,1,35,299,284
1_IMG_20180119_175027.jpg,300,300,door,32,1,224,297
1_IMG_20180119_174825.jpg,300,300,door,48,1,272,287
1_IMG_20180119_175210.jpg,300,300,fire_exit,1,80,300,224
1_IMG_20180119_174907(1).jpg,300,300,toilet_sign,32,72,294,174
1_IMG_20180119_175109.jpg,300,300,door,31,27,217,282
1_IMG_20180119_174329.jpg,300,300,stairs_down,1,33,300,282
1_IMG_20180119_174603.jpg,300,300,stairs_down,27,154,300,286
1_IMG_20180119_175008.jpg,300,300,exit_sym,52,16,285,186
1_IMG_20180119_174825(1).jpg,300,300,fire_exit,1,80,300,231
1_IMG_20180119_174540(1).jpg,300,300,stairs_up,1,18,279,277
1_IMG_20180119_175717.jpg,300,300,fire_exit,1,68,300,226
1_IMG_20180119_174531.jpg,300,300,door,13,2,214,287
1_IMG_20180119_174015.jpg,300,300,male_washroom,93,46,237,248
1_IMG_20180119_174450.jpg,300,300,door,22,1,249,288
1_IMG_20180119_175204.jpg,300,300,door,37,2,250,296
1_IMG_20180119_174017.jpg,300,300,male_washroom,108,56,242,250
1_IMG_20180119_174136.jpg,300,300,door,1,1,275,295
1_IMG_20180119_174216.jpg,300,300,female_washroom,82,62,225,259
1_IMG_20180119_174921(1).jpg,300,300,door,50,16,234,283
1_IMG_20180119_174622.jpg,300,300,door,20,20,263,280
1_IMG_20180119_174628.jpg,300,300,door,34,15,223,288
1_IMG_20180119_174011.jpg,300,300,door,75,1,279,283
1_IMG_20180119_174605(1).jpg,300,300,stairs_down,40,143,300,289
1_IMG_20180119_174129.jpg,300,300,stairs_up,2,39,300,293
1_IMG_20180119_175058.jpg,300,300,door,47,24,242,252
1_IMG_20180119_174032(1).jpg,300,300,female_washroom,38,48,192,259
1_IMG_20180119_174203.jpg,300,300,male_washroom,94,56,261,279
1_IMG_20180119_175229.jpg,300,300,fire_exit,1,87,300,202
1_IMG_20180119_174211.jpg,300,300,door,77,1,238,294
1_IMG_20180119_174949.jpg,300,300,door,37,2,224,297
1_IMG_20180119_174926(1).jpg,300,300,stairs_down,86,114,298,283
1_IMG_20180119_174506.jpg,300,300,toilet_sign,1,60,300,210
1_IMG_20180119_174832(1).jpg,300,300,door,1,1,240,287
1_IMG_20180119_174830.jpg,300,300,fire_exit,1,36,300,189
1_IMG_20180119_174851.jpg,300,300,door,41,1,259,276
1_IMG_20180119_173932.jpg,300,300,fire_exit,1,78,300,201
1_IMG_20180119_174522.jpg,300,300,toilet_sign,64,7,259,216
1_IMG_20180119_174141.jpg,300,300,pd_washroom,94,30,262,257
1_IMG_20180119_175031.jpg,300,300,door,74,23,236,293
1_IMG_20180119_174916.jpg,300,300,toilet_sign,7,68,248,219
1_IMG_20180119_174148.jpg,300,300,pd_washroom,118,42,267,273
1_IMG_20180119_174048.jpg,300,300,door,56,5,258,281
1_IMG_20180119_174436.jpg,300,300,stairs_down,1,15,300,285
1_IMG_20180119_174647.jpg,300,300,stairs_up,12,6,296,285
1_IMG_20180119_174010.jpg,300,300,male_washroom,82,28,238,244
1_IMG_20180119_174454.jpg,300,300,door,24,2,258,275
1_IMG_20180119_175133.jpg,300,300,door,18,14,235,293
1_IMG_20180119_174145.jpg,300,300,pd_washroom,94,33,243,264
1_IMG_20180119_174028.jpg,300,300,stairs_up,3,1,238,297
1_IMG_20180119_174551.jpg,300,300,male_washroom,132,73,249,227
1_IMG_20180119_174353.jpg,300,300,fire_exit,1,1,255,258
1_IMG_20180119_173951.jpg,300,300,stairs_down,30,89,300,299
1_IMG_20180119_174441.jpg,300,300,stairs_down,15,19,300,287
1_IMG_20180119_174325.jpg,300,300,stairs_down,1,31,300,280
1_IMG_20180119_173956.jpg,300,300,stairs_down,1,47,299,300
